year,month,n
2008,7,1
2009,1,1
2009,7,36
2009,8,23
2009,9,27
2009,10,28
2009,11,22
2009,12,12
2010,1,33
2010,2,38
2010,3,45
2010,4,54
2010,5,17
2011,6,4
2012,6,8
2012,9,1
2013,6,5
2013,8,2
2013,9,10
2013,10,45
2013,11,11
2014,6,1
2014,7,19
2014,8,18
2014,9,25
2014,10,17
2014,12,22
2015,1,18
2015,3,17
2015,4,18
2015,5,14
2015,6,19
2015,7,10
2015,8,1
2015,9,20
2015,10,13
2015,11,11
2015,12,9
2016,1,17
2016,2,19
2016,3,15
2016,4,12
2016,5,6
2016,6,12
2016,7,33
2016,8,11
2016,9,8
2016,11,22
2016,12,8
2017,1,16
2017,4,2
2017,5,9
2017,6,17
2017,7,7
2017,9,4
2017,10,2
2017,12,1
2018,1,12
2018,3,13
2018,4,11
2018,6,12
2018,7,11
2018,8,10
2018,9,8
2018,10,6
2018,11,21
2018,12,14
2019,1,17
