Date Captured,Date analyzed,Tag #,Content (Species),Content (number of individuals),Total Mass of Content,Comments,
19/12/2012,11-9-2013,142,HAP,1,1.4889,"Could not find pharyngeal jaw, but it had a spiny anal fin and the right body shape",
23/11/2012,11-9-2013,23,NP,10,19.5555,"Dorsal fins, body shape, no pharyngeal jaws",
23/11/2012,11-9-2013,23,MF,1,0.0093,just the head,
18/12/2012,11-9-2013,128,CIC,1,5.2738,"pharyngeal jaws, spiny anal fin, long dorsal fin",
18/11/2012,11-9-2013,1164,UNID,1,0.2014,"probably 2012, bones, gills",
18/12/2012,11-9-2013,108,UNID,2,0.8159,"no pharyngeal jaw, mostly decomposed, just bones and a little flesh (no body shape), no fins",
18/12/2012,11-9-2013,123,UNID,1,0.8984,"flesh and bone, no pharyngeal jaw, no fins",
18/11/2012,11-9-2013,1167,MF,6,0.1166,"2 detached heads, 4 heads with partial bodies",
18/12/2012,11-9-2013,119,BARB,2,0.675,"looks like RAS based on body shape, but unsure; later: confirmed to be BARB by Lauren",
19/12/2012,11-9-2013,134,DIP,3,0.0061,"nice specimens, obvious heads and well preserved",
19/12/2012,11-9-2013,134,UNID,2,0.3362,"no pharyngeal jaw, flesh and bone, no fin",
17/12/2012,11-9-2013,96,RAS,3,2.4946,"clear body shape, line and fins",
18/12/2012,16/09/2013,115,RAS,3,2.3906,"clear body shape, line and fins",
18/11/2012,16/09/2013,1159,UNID,1,0.2733,"no pharyngeal jaws, no fins, only flesh and bone and decomposed scales",
18/11/2012,16/09/2013,1159,VEG,NA,0.0036,,
28/11/2012,16/09/2013,45,UNIDIN,1,0.0552,"very decomposed, bits of abdomen from insect, presence of flesh that kind of looks like fish flesh under the scope, no bones",
18/12/2012,18/09/2013,124,UNID,1,0.8426,"flesh and bones of what seems like one fish (one set), no jaws or fins",
28/11/2012,18/09/2013,49,MF,1,0.0102,one mandible and bit of flesh,
28/11/2012,18/09/2013,49,UNID,1,0.3279,"set aside a head, because I didn't want to destroy it before getting someone to look at it; later: confirmed to be UNID by Lauren",
18/12/2012,18/09/2013,A,RAS,2,1.6066,"no tag #, clear body shape, fins, black line",noteworthy
17/11/2012,18/09/2013,914,HAP,1,5.2977,"dorsal fin across the back, teeth (as Lauren showed me according to a poster in the lab near Igor's desk), presence of pharyngeal jaw, head unlike Tilapia",
18/12/2012,20/09/2013,113,UNID,1,0.324,no body shape or fins; only flesh and bone,
29/11/2012,20/09/2013,55,DIP,-,0.7164,"2 different species of dip, very distinct",noteworthy
27/08/2012,2-10-2013,971,CIC,1,0.1775,"pharyngeal jaw, but no body shape or fins",
18/12/2012,2-10-2013,100,HAP,8,1.2908,"pharyngeal jaw, body shape of HAP (confirmed by Lauren)",
18/12/2012,2-10-2013,104,RAS,2,1.6062,"body shape looks like RAS, no fins, black line; (confirmed by Lauren)",
24/01/2013,11-10-2013,168,HAP,2,4.066,Nice ctenoid scales; very well preserved; clear body shape and fins,
23/11/2013,11-10-2013,24,HAP,2,4.5093,"body shape, fins, pharyngeal jaws",
23/11/2013,11-10-2013,24,VEG,NA,0.0206,,
17/12/2012,11-10-2013,98,RAS,1,0.5897,"body shape, fins, black line",
17/12/2012,11-10-2013,98,UNID,1,0.0242,swim bladder (that's all),
,11-10-2013,B,UNIDIN,1,0.0027,"There was only a tag that said ""Stomach 1/4, weight 400g, stage 3 male""; no head",
,11-10-2013,B,ODO,1,0.1322,"There was only a tag that said ""Stomach 1/4, weight 400g, stage 3 male"";",
,11-10-2013,B,RAS,1,0.0638,"There was only a tag that said ""Stomach 1/4, weight 400g, stage 3 male""; black line, body shape, very digested (confirmed by Lauren)",
,11-10-2013,B,CIC,1,0.3091,"There was only a tag that said ""Stomach 1/4, weight 400g, stage 3 male""; pharyngeal jaw, no scales, probably HAP based on shape",
29/09/2012,11-10-2013,910,UNID,7,1.2637,"different spines, but no fins, no pharyngeal jaws, very little body shape",
24/11/2012,11-10-2013,39,UNID,2,2.1994,"no fins, body shape looks a little like HAP, ctenoid scales, no pharyngeal jaws",
24/11/2012,11-10-2013,39,VEG,NA,0.0543,,
22/11/2012,18/10/2013,5,HAP,1,1.3797,"pharyngeal jaw, HAP body shape, scales ctenoid",
22/11/2012,18/10/2013,5,UNID,1,1.3944,"mass of flesh and bone, no pharyngeal jaw, not much body shape, no fins",
28/09/2012,18/10/2013,905,CIC,1,0.7074,"pharyneal jaw, unclear body shape",
28/09/2012,18/10/2013,905,NP,4,2.2209,"one looks like it might be NP, others had no pharyngeal jaws and unclear body shapes; later: confirmed to be NP by Lauren",
29/11/2012,18/10/2013,61,HAP,1,1.1085,"pharyngeal jaws, ctenoid scales, body shape (good specimen!)",
26/01/2012,18/10/2013,197,CIC,2,0.8126,"pharyngeal jaw, body shape unclear, no scales",
26/01/2012,18/10/2013,197,UNID,1,0.2593,"no pharyngeal jaw, no fins, no body shape",
29/09/2012,23/10/2013,907,RAS,1,1.6573,"the label might say 902, but probably 907; abdomen distended because it was pregnant (visible eggs)",
22/01/2013,23/10/2013,147,CIC,1,0.1544,"pharyngeal jaws, no scales, few fins, difficult to tell body shape because the head was disconnected from the body",
17/11/2012,23/10/2013,916,MF,2,0.145,,
27/08/2012,23/10/2013,974,UNID,9,0.8511,"no pharyngeal jaws, not much fins, maybe HAP body, but no jaws (hard to be sure though, as the fish were very small)",
18/11/2012,23/10/2013,1154,UNID,1,0.2541,"piece of flesh abd bone, no pharyngeal jaw",
18/12/2012,23/10/2013,106,CIC,1,4.4019,pharyngeal jaws,
18/12/2012,23/10/2013,106,VEG,NA,0.0524,,
23/11/2012,23/10/2013,16,DIP,10,0.0352,2 different species (maybe even 3),noteworthy
28/09/...,6-11-2013,906,UNID,2,0.6931,"missing year of capture on the label, no pharyngeal jaws, incomplete bodies",
28/09/2012,6-11-2013,904,ODO,1,0.1568,"might be 909, but probably 904",
22/01/2013,6-11-2013,148,UNID,1,0.0064,"flesh and bones (small, tiny bones)",
28/08/2012,6-11-2013,986,MF,7,0.1652,"7 heads, mass of cerci and flesh",
28/08/2012,6-11-2013,985,UNID,1,0.8134,"mass of flesh and bone, no pharyngeal jaws, no fins",
17/11/2012,6-11-2013,1152,MF,5,0.1147,"5 heads, mass of cerci and flesh",
22/11/2012,6-11-2013,7,CIC,1,0.4561,"pharyngeal jaws, no scales, no fins, maybe HAP body shape, but not much body",
18/12/2012,6-11-2013,117,UNID,1,0.668,"no pharyngeal jaws, no fins, no scales, not much body shape",
18/12/2012,6-11-2013,117,CIC,2,2.3217,"pharyngeal jaws, no sales, maybe HAP shape, but very unsure",
18/12/2012,6-11-2013,117,HAP,2,5.6854,"pharyngeal jaws, ctenoid scales, HAP body shape",
18/12/2012,6-11-2013,117,VEG,NA,0.1096,,
22/11/2012,6-11-2013,10,NP,1,1.5566,"large spikes on the dorsal fin, body shape, no pharyngeal jaws",
18/11/2012,6-11-2013,1166,NP,1,0.6079,Might have pharyngeal jaws? I could not find the lower one. Found something that looked like an upper pharyngeal jaw. The body shape looks like NP and it had large spines on the dorsal fin; later: confirmed to be NP by Lauren,
17/12/2012,6-11-2013,90,UNID,1,0.4055,"no pharyngeal jaws, no fins, no scales, not much body shape",
17/11/2012,8-11-2013,1153,UNID,1,0.2003,"no pharyngeal jaws, no fins, no scales, not much body shape",
17/11/2012,8-11-2013,1153,DIP,2,0.0104,2 species,
18/12/2012,8-11-2013,120,HAP,1,8.3473,"pharyngeal jaws, ctenoid scales, body shape, fins (good specimen)",
