year,month,day,tag,prey,preynumber,preymass,preysl,preybd,comments,chaoborus,dissector
2012,12,19,142,hap,1,1.4889,NA,NA,"Could not find pharyngeal jaw, but it had a spiny anal fin and the right body shape",NA,Jennifer Sunahara
2012,11,23,23,nile perch,10,19.5555,NA,NA,"Dorsal fins, body shape, no pharyngeal jaws",NA,Jennifer Sunahara
2012,11,23,23,ephemeroptera larvae,1,0.0093,NA,NA,just the head,NA,Jennifer Sunahara
2012,12,18,128,cichlid,1,5.2738,NA,NA,"pharyngeal jaws, spiny anal fin, long dorsal fin",NA,Jennifer Sunahara
2012,11,18,1164,ufp,1,0.2014,NA,NA,"probably 2012, bones, gills",NA,Jennifer Sunahara
2012,12,18,108,ufp,2,0.8159,NA,NA,"no pharyngeal jaw, mostly decomposed, just bones and a little flesh (no body shape), no fins",NA,Jennifer Sunahara
2012,12,18,123,ufp,1,0.8984,NA,NA,"flesh and bone, no pharyngeal jaw, no fins",NA,Jennifer Sunahara
2012,11,18,1167,ephemeroptera larvae,6,0.1166,NA,NA,"2 detached heads, 4 heads with partial bodies",NA,Jennifer Sunahara
2012,12,18,119,barbus,2,0.675,NA,NA,"looks like RAS based on body shape, but unsure; later: confirmed to be BARB by Lauren",NA,Jennifer Sunahara
2012,12,19,134,diptera,3,0.0061,NA,NA,"nice specimens, obvious heads and well preserved",NA,Jennifer Sunahara
2012,12,19,134,ufp,2,0.3362,NA,NA,"no pharyngeal jaw, flesh and bone, no fin",NA,Jennifer Sunahara
2012,12,17,96,mukene,3,2.4946,NA,NA,"clear body shape, line and fins",NA,Jennifer Sunahara
2012,12,18,115,mukene,3,2.3906,NA,NA,"clear body shape, line and fins",NA,Jennifer Sunahara
2012,11,18,1159,ufp,1,0.2733,NA,NA,"no pharyngeal jaws, no fins, only flesh and bone and decomposed scales",NA,Jennifer Sunahara
2012,11,18,1159,vegitation,NA,0.0036,NA,NA,NA,NA,Jennifer Sunahara
2012,11,28,45,uip,1,0.0552,NA,NA,"very decomposed, bits of abdomen from insect, presence of flesh that kind of looks like fish flesh under the scope, no bones",NA,Jennifer Sunahara
2012,12,18,124,ufp,1,0.8426,NA,NA,"flesh and bones of what seems like one fish (one set), no jaws or fins",NA,Jennifer Sunahara
2012,11,28,49,ephemeroptera larvae,1,0.0102,NA,NA,one mandible and bit of flesh,NA,Jennifer Sunahara
2012,11,28,49,ufp,1,0.3279,NA,NA,"set aside a head, because I didn't want to destroy it before getting someone to look at it; later: confirmed to be UNID by Lauren",NA,Jennifer Sunahara
2012,11,17,914,hap,1,5.2977,NA,NA,"dorsal fin across the back, teeth (as Lauren showed me according to a poster in the lab near Igor's desk), presence of pharyngeal jaw, head unlike Tilapia",NA,Jennifer Sunahara
2012,12,18,113,ufp,1,0.324,NA,NA,no body shape or fins; only flesh and bone,NA,Jennifer Sunahara
2012,11,29,55,diptera,-,0.7164,NA,NA,"2 different species of dip, very distinct, noteworthy",NA,Jennifer Sunahara
2012,08,27,971,cichlid,1,0.1775,NA,NA,"pharyngeal jaw, but no body shape or fins",NA,Jennifer Sunahara
2012,12,18,100,hap,8,1.2908,NA,NA,"pharyngeal jaw, body shape of HAP (confirmed by Lauren)",NA,Jennifer Sunahara
2012,12,18,104,mukene,2,1.6062,NA,NA,"body shape looks like RAS, no fins, black line; (confirmed by Lauren)",NA,Jennifer Sunahara
2013,01,24,168,hap,2,4.066,NA,NA,Nice ctenoid scales; very well preserved; clear body shape and fins,NA,Jennifer Sunahara
2013,11,23,24,hap,2,4.5093,NA,NA,"body shape, fins, pharyngeal jaws",NA,Jennifer Sunahara
2013,11,23,24,vegitation,NA,0.0206,NA,NA,NA,NA,Jennifer Sunahara
