Date (DD-Mon-YY),Year ,Month ,Month Adjusted ,Site,Site Type,Net,Tag #,Fish Type,Fish Type code,TL,SL,Sex,Mass,Stomach,Gonads,Comments,Data inputter's comments,R Sample Name,R Sample Name (Hab)
7-Jun-12,2012,Jun,Jun,DDB Right,3,Mid,951,Nile Perch,7,18.9,15.5,2,68.97,0,1,,,2012-Jun-3-Mid,3-Mid
7-Jun-12,2012,Jun,Jun,DDB Right,3,Mid,900,Nile Perch,7,10,8.3,0,10.94,0,,,,2012-Jun-3-Mid,3-Mid
7-Jun-12,2012,Jun,Jun,DDB Right,3,Mid,952,Nile Perch,7,21.5,17,1,106.96,,1,,,2012-Jun-3-Mid,3-Mid
7-Jun-12,2012,Jun,Jun,DDB Right,3,Mid,953,Nile Perch,7,39,32,1,580,1,3,,,2012-Jun-3-Mid,3-Mid
7-Jun-12,2012,Jun,Jun,DDB Right,3,Mid,954,Nile Perch,7,75,62,1,4500,0,4,Bought from Luwafu manager,,2012-Jun-3-Mid,3-Mid
7-Jun-12,2012,Jun,Jun,DDB Right,3,Mid,955,Nile Perch,7,55,45.5,2,1500,1,3,Bought from Luwafu manager,,2012-Jun-3-Mid,3-Mid
30-Oct-09,2009,Oct ,Oct ,Forest Far,4,100,1548,Nile perch,7,19.5,15.8,1,46.55,0.25,1,,,2009-Oct -4-100,4-100
09-Jul-09,2009,Jul,Jul,Pump Before,1,5,,Hap,6,7.5,5.9,2,,,,,,2009-Jul-1-5,1-5
09-Jul-09,2009,Jul,Jul,Pump Before,1,5,,Hap,6,7.4,6,2,,,,,,2009-Jul-1-5,1-5
09-Jul-09,2009,Jul,Jul,Pump Before,1,5,,Hap,6,7.1,6,1,,,,,,2009-Jul-1-5,1-5
09-Jul-09,2009,Jul,Jul,Pump Before,1,5,,Hap,6,7.8,6.4,2,,,,,,2009-Jul-1-5,1-5
09-Jul-09,2009,Jul,Jul,Pump Before,1,5,,Beadlei,12,15,12.5,2,,,,,,2009-Jul-1-5,1-5
09-Jul-09,2009,Jul,Jul,Pump Before,1,5,,Beadlei,12,14.5,12,2,,,,,,2009-Jul-1-5,1-5
09-Jul-09,2009,Jul,Jul,Pump Before,1,5,,Hap,6,8.1,6.6,2,,,,,,2009-Jul-1-5,1-5
09-Jul-09,2009,Jul,Jul,Pump Before,1,5,1340,Nile perch,7,9.9,8.1,0,10,1,,,,2009-Jul-1-5,1-5
09-Jul-09,2009,Jul,Jul,Pump Before,1,5,1339,Nile perch,7,10,8.4,0,11.2,0,,,,2009-Jul-1-5,1-5
