year,month,day,tag,prey,preynumber,preymass,preysl,preybd,comments,chaoborus
2017,7,26,146,chironomid pupae,2,0.01,NA,NA,NA,yes
2017,7,26,146,chironomid larvae,8,0.01,NA,NA,NA,yes
2017,7,26,146,uip,1,0.01,NA,NA,NA,yes
2017,7,26,152,ephemeroptera larvae,16,0.41,NA,NA,NA,yes
2017,7,26,152,chaoborus,1,0,NA,NA,NA,yes
2017,7,27,156,vegitation,10,0.28,NA,NA,NA,yes
2017,7,27,156,ufp,1,0.1,NA,NA,NA,yes
2017,7,27,156,ephemeroptera larvae,1,0.01,NA,NA,NA,yes
2017,7,27,158,hap,1,0.07,NA,NA,NA,yes
2017,7,27,158,ephemeroptera larvae,1,0.06,NA,NA,NA,yes
2017,7,27,158,chaoborus,32,0.06,NA,NA,NA,yes
2017,7,27,158,chironomid pupae,1,0,NA,NA,NA,yes
2017,7,27,162,chironomid larvae,2,0,NA,NA,NA,yes
2017,7,27,162,chaoborus,1,0,NA,NA,NA,yes
2017,7,27,162,uip,1,0.02,NA,NA,NA,yes
2017,7,27,163,leech,5,0.16,NA,NA,NA,yes
2017,7,27,163,ufp,6,0.08,NA,NA,NA,yes
2017,7,27,163,chironomid larvae,3,0.01,NA,NA,NA,yes
2017,7,27,164,chironomid larvae,1,0.01,NA,NA,NA,yes
2017,7,27,164,leech,2,0.1,NA,NA,NA,yes
2017,7,27,164,hap,1,0.08,1.5,0.5,NA,yes
2017,9,23,235,ephemeroptera larvae,1,0.04,NA,NA,NA,yes
2017,9,23,239,chironomid larvae,1,0.01,NA,NA,NA,yes
2017,9,23,240,ephemeroptera larvae,21,0.4,NA,NA,NA,yes
2017,10,26,283,hap,1,11.09,NA,NA,NA,yes
2017,10,26,283,vegitation,1,0.21,NA,NA,NA,yes
2017,9,25,300,hap,1,4.75,5.7,1.8,NA,yes
2017,9,25,300,hap,1,1.39,NA,NA,NA,yes
2017,9,25,300,mukene,1,0.52,NA,NA,NA,yes
2018,3,14,346,ephemeroptera larvae,106,3.69,NA,NA,NA,yes
2017,12,20,368,mastacembelus,1,26.64,NA,NA,NA,yes
2017,12,20,368,hap,2,10.4,NA,NA,NA,yes
2018,1,17,398,leech,7,0.06,NA,NA,NA,yes
2018,1,17,398,ephemeroptera larvae,13,0.25,NA,NA,NA,yes
2018,1,17,400,leech,9,0.43,NA,NA,NA,yes
2018,1,17,400,ephemeroptera larvae,17,0.13,NA,NA,NA,yes
2018,1,17,400,chironomid pupae,2,0.02,NA,NA,NA,yes
2018,1,17,400,chironomid larvae,4,0.01,NA,NA,NA,yes
2018,1,17,400,uip,1,0.07,NA,NA,NA,yes
2018,1,17,400,vegitation,1,0.01,NA,NA,NA,yes
2018,1,17,401,hap,2,0.95,NA,NA,NA,yes
2018,1,17,405,ephemeroptera larvae,76,0.87,NA,NA,NA,yes
2018,1,18,407,odonata larvae,1,0.17,NA,NA,NA,yes
2018,1,18,407,ephemeroptera larvae,37,1.3,NA,NA,NA,yes
2018,1,18,407,chironomid pupae,5,0.02,NA,NA,NA,yes
